Pitcher,CCBLWareham,CCBLCotuit
a,90.620802,91.8854383333333
b,91.9617138596491,90.9066231343284
c,90.4980661363636,90.4900189795918
d,93.541348515625,93.21784875
e,90.898341025641,91.396827826087
f,92.7375213793103,92.1072852307692
g,91.9967,90.5080945454546
h,94.5148166666667,92.3372852
I,93.24089828125,92.4932454545455
j,93.4958170588235,92.4826216666667
k,92.7065102380952,92.3099459649123
l,91.9978684375,91.404065
m,90.906397368421,90.6642566666667
n,91.1543511904762,90.3091117391304
o,92.873745,92.30737
p,94.0119079365079,93.84039